player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Josh Thompson,56218,S,ATL,3,1,0,2,0,0,0,0,5
Darnay Holmes,56247,CB,LV,3,0,0,23,1,0,0,0,1
Allan George,56275,CB,DET,3,0,0,11,0,0,1,0,4
Keith Taylor Jr.,56289,CB,ATL,1,0,0,2,0,0,0,0,1
Elijah Molden,56290,S,LAC,1,0,0,27,0,0,0,0,1
Devon Key,56307,S,DEN,3,0,0,10,0,0,0,0,3
Jose Ramirez,56323,ED,TB,3,2,0,30,0,0,0,1,1
Chris Rumph II,56345,ED,NO,3,1,0,20,1,0,0,1,4
Zach Carter,56349,DI,LV,3,2,0,23,0,0,0,0,1
Raymond Johnson III,56356,ED,CIN,3,5,0,7,0,0,0,0,5
A.J. Epenesa,56369,ED,BUF,3,0,0,4,0,0,0,1,0
Andre Jones Jr.,56395,ED,WAS,3,3,0,32,1,0,0,1,4
Earnest Brown IV,56428,DI,DAL,2,1,0,9,1,0,0,0,4
Chase Young,56436,ED,NO,1,0,0,20,0,0,0,0,0
Marcus Haynes,56441,ED,IND,2,0,0,14,0,0,0,1,0
Patrick Johnson,56460,ED,PHI,3,2,0,24,0,1,0,1,2
Cam Sample,56462,ED,CIN,2,0,0,7,0,0,0,0,1
Phidarian Mathis,56504,DI,NYJ,2,2,0,22,1,0,0,0,1
D.J. Davidson,56523,DI,NYG,3,2,0,21,0,0,0,1,0
T.J. Slaton,56597,DI,CIN,2,1,0,7,0,0,0,0,0
Malik Herring,56616,ED,KC,3,2,0,16,0,0,0,0,9
Payton Turner,56624,ED,DAL,3,1,0,9,0,0,0,0,2
Owen Carney,56637,ED,KC,1,0,0,16,0,0,0,0,0
Mike Greene,56664,DI,TB,3,1,0,30,0,0,0,0,5
Quinton Bohanna,56673,DI,SEA,3,0,0,29,0,0,0,0,1
Milton Williams,56682,DI,NE,2,0,0,19,0,0,0,0,1
